berth_id,berth_name,수역,operator,lat_raw,lon_raw,source
CY-OTK1,OTK 1부두,처용리,오드펠터미널코리아,35.45661,129.35119,입항정보PDF
CY-OTK2,OTK 2부두,처용리,오드펠터미널코리아,35.45661,129.35119,입항정보PDF_대표점
CY-UTK,UTK 부두,처용리,유나이티드터미널코리아,35.46225,129.34753,입항정보PDF_UTK1.2
CY-DHY,대한유화 부두,처용리,대한유화,35.45417,129.35194,입항정보PDF
SA-JI1,정일 1부두,산암리,정일스톨트헤븐,35.43778,129.36694,입항정보PDF
SA-JI2,정일 2부두,산암리,정일스톨트헤븐,35.43778,129.36694,입항정보PDF_대표점
SA-HS,효성 부두,산암리,효성,35.44239,129.35778,입항정보PDF
SA-SO1,S-Oil 1부두,산암리,S-OIL,35.45100,129.35600,입항정보PDF_터미널대표
SA-SO2,S-Oil 2부두,산암리,S-OIL,35.45100,129.35600,입항정보PDF_터미널대표
WS-SO3,S-Oil 3부두,원산리,S-OIL,35.45100,129.35600,입항정보PDF_터미널대표
WS-SO4,S-Oil 4부두,원산리,S-OIL,35.45100,129.35600,입항정보PDF_터미널대표
BU-SOIL,S-Oil 부이,부이(해상),S-OIL,,,해도필요_신항앞해상SPM
BU-OILHUB,오일허브 부이,부이(해상),S-OIL,,,해도필요_신항앞해상SPM
BU-KNOC,석유공사 부이,부이(해상),한국석유공사,35.38633,129.39300,입항정보PDF_원유BUOY
