operator,berth_ref,sub_berth,전장_m,접안_DWT,수심_m,최대흘수_m,최대전장_m,최소전장_m,선저여유,비고
오드펠터미널코리아,CY-OTK1,North,190,30000,11.0,10.1,190,60,,
오드펠터미널코리아,CY-OTK1,South,180,50000,12.5,11.3,180,60,,
오드펠터미널코리아,CY-OTK2,North,135,10000,9.0,8.0,,,,
오드펠터미널코리아,CY-OTK2,South,135,10000,9.0,8.0,,,,
유나이티드터미널코리아,CY-UTK,#1,120,8000,9.0,8.0,110,,0.4,
유나이티드터미널코리아,CY-UTK,#2,240,50000,12.0,10.8,220,,0.5,
유나이티드터미널코리아,신항,#3,242,50000,14.0,12.5,220,,0.6,신항(Phase2)
대한유화,CY-DHY,북측,280,80000,14.0,12.5,260,90,10%,
대한유화,CY-DHY,남측,280,50000,12.5,11.6,260,90,10%,에틸렌선 출항자세 접안
정일스톨트헤븐,SA-JI1,#1,86,3000,8.5,8.0,86,,0.5,
정일스톨트헤븐,SA-JI1,#2,190,40000,14.0,10.5,190,,1.5,수심 만조14/평시12
정일스톨트헤븐,SA-JI2,#3,200,40000,12.5,11.25,200,,1.25,
정일스톨트헤븐,SA-JI2,#4,164,20000,10.9,9.9,164,,1.0,
효성,SA-HS,1,240,30000,12.0,10.2,,,,단독선석
S-OIL,SA-SO,A-1,,30000,,10.3,245,,,A1+C1 최대전장245
S-OIL,SA-SO,C-1,280,7500,,9.8,,,,
S-OIL,SA-SO,A-2,,56500,,12.5,245,,,GT31000 A2+C2
S-OIL,SA-SO,C-2,280,7500,,10.0,,,,
S-OIL,SA-SO,D-1,,22500,,7.8,150,35,,GT8000
S-OIL,SA-SO,D-2,340,7500,,7.0,150,35,,
S-OIL,SA-SO,E-1,340,135600,,14.5,260,,,GT66000
S-OIL,WS-SO,F-1,280,56500,14.0,12.7,219,,,GT31534
S-OIL,WS-SO,F-2,280,15000,,8.2,130,,,GT6000
S-OIL,WS-SO,G-1,405,50000,12.0,10.5,405,,,G1+G2 합산
S-OIL,WS-SO,G-3,180,30000,,10.5,160,,,
한국석유공사,BU-KNOC,원유BUOY,,325000,40,,,,,수심40m 원유부이
