cargo_name,cas_no,un_no,imdg_class,flashpoint_c_ref,cargo_category,비고
벤젠,71-43-2,1114,3,-11,액체화학,발암성; 정일9.18/OTK9.17 벤젠함유화물 특별취급
톨루엔,108-88-3,1294,3,4,액체화학,
자일렌(혼합),1330-20-7,1307,3,27,액체화학,o/m/p 이성질체별 CAS 상이
스티렌,100-42-5,2055,3,31,액체화학,중합억제제 관리 필요
메탄올,67-56-1,1230,3,11,액체화학,독성; 친환경연료 확장대상
에탄올,64-17-5,1170,3,13,액체화학,
에틸렌,74-85-1,1962,2.1,gas,액체화학,인화성가스; IMDG 격리대상
프로필렌옥사이드,75-56-9,1280,3,-37,액체화학,극인화성; 반응성
황산,7664-93-9,1830,8,N/A,액체화학,부식성; 혼재금지 다수
휘발유,mixture,1203,3,-43,유류,극인화성
경유,68334-30-5,1202,3,>55,유류,디젤연료
등유,8008-20-6,1223,3,38-72,유류,
나프타,mixture,1268,3,<-18,유류,극인화성
선박유(중유),mixture,3082,9,>60,유류,비규제 등급도 존재
LNG(메탄),74-82-8,1972,2.1,gas,친환경연료,극저온 인화성가스; 벙커링 확장
암모니아(무수),7664-41-7,1005,2.3,gas,친환경연료,독성가스; 벙커링 확장
