berth_id,berth_name,수역,operator,길이_m,수심_m,접안능력_DWT,선석수,최대흘수_m,취급화물,cargo_class,tier,lat,lon,coord_source
CY-OTK1,OTK 1부두,처용리,오드펠터미널코리아,391,11,40000,2,11.3,케미칼류,liquid_chem,core,35.45661,129.35119,PDF_제2판
CY-OTK2,OTK 2부두,처용리,오드펠터미널코리아,275,9,10000,2,8.0,케미칼류,liquid_chem,core,35.45661,129.35119,PDF_제2판_대표점
CY-UTK,UTK 부두,처용리,유나이티드터미널코리아,287,12,30000,2,,케미칼류,liquid_chem,core,35.462250,129.347530,입항정보PDF_UTK1.2
CY-DHY,대한유화 부두,처용리,대한유화,320,12,80000,2,,케미칼류,liquid_chem,core,35.454170,129.351940,입항정보PDF
SA-JI1,정일 1부두,산암리,정일스톨트헤븐,354,11,40000,2,,케미칼류,liquid_chem,core,35.43778,129.36694,PDF_제2판
SA-JI2,정일 2부두,산암리,정일스톨트헤븐,256,12.5,40000,2,,케미칼류,liquid_chem,core,35.43778,129.36694,PDF_제2판_대표점
SA-HS,효성 부두,산암리,효성,240,12,30000,1,,케미칼류,liquid_chem,core,35.442390,129.357780,입항정보PDF
SA-SO1,S-Oil 1부두,산암리,S-OIL,280,11,50000,2,,유류/케미칼류,liquid_chem_oil,core,35.451000,129.356000,입항정보PDF_터미널대표
SA-SO2,S-Oil 2부두,산암리,S-OIL,340,15.5,120000,3,,유류/케미칼류,liquid_chem_oil,core,35.451000,129.356000,입항정보PDF_터미널대표
WS-SO3,S-Oil 3부두,원산리,S-OIL,280,14,50000,2,,유류/케미칼류,liquid_chem_oil,core,35.451000,129.356000,입항정보PDF_터미널대표
WS-SO4,S-Oil 4부두,원산리,S-OIL,585,12,30000,3,,케미칼류,liquid_chem,core,35.451000,129.356000,입항정보PDF_터미널대표
BU-SOIL,S-Oil 부이,부이(해상),S-OIL,,27,350000,1,,원유,crude_oil,buoy,,,해도필요_신항앞해상SPM
BU-OILHUB,오일허브 부이,부이(해상),S-OIL,,27,325000,1,,원유,crude_oil,buoy,,,해도필요_신항앞해상SPM
BU-KNOC,석유공사 부이,부이(해상),한국석유공사,,27,325000,1,,원유,crude_oil,buoy,35.386330,129.393000,입항정보PDF_원유BUOY
