from_berth,to_berth,operator,shared_products,to_max_dwt,to_depth_m
CY-OTK1,CY-OTK2,오드펠터미널코리아,케미칼,10000,9.0
CY-OTK2,CY-OTK1,오드펠터미널코리아,케미칼,40000,11.0
SA-JI1,SA-JI2,정일스톨트헤븐,케미칼,40000,12.5
SA-JI2,SA-JI1,정일스톨트헤븐,케미칼,40000,11.0
SA-SO1,SA-SO2,S-OIL,유류/케미칼,120000,15.5
SA-SO1,WS-SO3,S-OIL,유류/케미칼,50000,14.0
SA-SO1,WS-SO4,S-OIL,케미칼,30000,12.0
SA-SO2,SA-SO1,S-OIL,유류/케미칼,50000,11.0
SA-SO2,WS-SO3,S-OIL,유류/케미칼,50000,14.0
SA-SO2,WS-SO4,S-OIL,케미칼,30000,12.0
WS-SO3,SA-SO1,S-OIL,유류/케미칼,50000,11.0
WS-SO3,SA-SO2,S-OIL,유류/케미칼,120000,15.5
WS-SO3,WS-SO4,S-OIL,케미칼,30000,12.0
WS-SO4,SA-SO1,S-OIL,케미칼,50000,11.0
WS-SO4,SA-SO2,S-OIL,케미칼,120000,15.5
WS-SO4,WS-SO3,S-OIL,케미칼,50000,14.0
BU-SOIL,BU-OILHUB,S-OIL,원유,325000,27.0
BU-OILHUB,BU-SOIL,S-OIL,원유,350000,27.0
